ID_Experimento,Nome_Experimento,Modo,Lookback_Dias,Lookback_Label,Tamanho_Carteira_Pct,Fracao_Decimal,Frequencia,Custo_Bps,Retorno_Total_Pct,CAGR_Pct,Volatilidade_Anualizada_Pct,Indice_Sharpe,Indice_Sortino,Indice_Calmar,Alpha_Anualizado_Pct,Beta_Ibov,Max_Drawdown_Pct,Max_Duracao_DD_Dias,Win_Rate_Pct,Turnover_Medio_Ciclo_Pct,Custo_Total_Estimado_Pct,N_Ativos_Medio,Num_Rebalanceamentos,Alertas_Risco
EXP_001,Long-Only | 63d (3M) | 10% | Trimestral | 0 bps,Long-Only,63,63d (3M),10%,0.1,Trimestral,0.0,178.86843157435356,13.304911832379695,17.85054392386739,0.2304590176232143,0.2209952267913968,0.38819672463617855,4.040104360865915,0.677906806586536,-34.27363238278009,344,55.18444666001994,35.724670673222846,0.0,19.08823529411765,34,⚠️ Custo Zero (Sem Fricção)
EXP_026,Long-Short (BAB) | 63d (3M) | 10% | Trimestral | 5 bps,Long-Short (BAB),63,63d (3M),10%,0.1,Trimestral,5.0,110.6915606057659,9.501372994807555,26.290783034268134,0.011801853857222438,0.011858531692713274,0.15978927286773703,0.3766929813488559,-0.6107597987064449,-59.46189518411641,1202,49.05284147557328,71.29885700410193,1.2120805690697332,19.08823529411765,34,✅ Robusto
EXP_027,Long-Short (BAB) | 63d (3M) | 10% | Trimestral | 15 bps,Long-Short (BAB),63,63d (3M),10%,0.1,Trimestral,15.0,110.6840112176508,9.500895101376416,26.29008237612004,0.01178399068131631,0.011840693452443445,0.15989686354517804,0.3762119797942539,-0.6107312151942085,-59.41889597285307,1202,49.10269192422732,71.29885700410193,3.6362417072091997,19.08823529411765,34,✅ Robusto
EXP_028,Long-Short (BAB) | 63d (3M) | 10% | Trimestral | 25 bps,Long-Short (BAB),63,63d (3M),10%,0.1,Trimestral,25.0,110.67636679834064,9.500411176930633,26.289402577077013,0.011765887808921242,0.011822612214301264,0.16000460832858532,0.3757249472250073,-0.6107026316819718,-59.375859709119105,1202,49.05284147557328,71.29885700410193,6.060402845348662,19.08823529411765,34,✅ Robusto
EXP_029,Long-Short (BAB) | 63d (3M) | 10% | Mensal | 0 bps,Long-Short (BAB),63,63d (3M),10%,0.1,Mensal,0.0,58.2177862302433,5.637932788420774,26.152154888964947,-0.1340345242776565,-0.13241968715486563,0.08211662260522656,-3.4778032553529488,-0.5928726448860309,-68.65763117809878,1575,46.748166259168705,38.620312722479895,0.0,19.04901960784314,102,⚠️ Custo Zero (Sem Fricção)
EXP_030,Long-Short (BAB) | 63d (3M) | 10% | Mensal | 5 bps,Long-Short (BAB),63,63d (3M),10%,0.1,Mensal,5.0,58.14830800262434,5.6323861835668065,26.152330901688526,-0.1342457105422024,-0.13262821764048563,0.08205766540702912,-3.483349316066108,-0.5928843809778944,-68.63936666524188,1575,46.79706601466992,38.620312722479895,1.9696359488464759,19.04901960784314,102,✅ Robusto
EXP_031,Long-Short (BAB) | 63d (3M) | 10% | Mensal | 15 bps,Long-Short (BAB),63,63d (3M),10%,0.1,Mensal,15.0,58.00931612875988,5.6212837041979435,26.152719806166232,-0.13466823908580403,-0.13304543799638593,0.08193954366527754,-3.494450707153355,-0.5929078531616219,-68.60281925856027,1575,46.79706601466992,38.620312722479895,5.908907846539425,19.04901960784314,102,✅ Robusto
EXP_032,Long-Short (BAB) | 63d (3M) | 10% | Mensal | 25 bps,Long-Short (BAB),63,63d (3M),10%,0.1,Mensal,25.0,57.87027730676326,5.610168868259313,26.15315788082774,-0.13509097355044322,-0.13352738923829027,0.08182114502162255,-3.505564454810369,-0.5929313253453493,-68.56624735301293,1575,46.79706601466992,38.620312722479895,9.848179744232375,19.04901960784314,102,✅ Robusto
EXP_033,Long-Short (BAB) | 63d (3M) | 20% | Trimestral | 0 bps,Long-Short (BAB),63,63d (3M),20%,0.2,Trimestral,0.0,110.69529965747363,9.501609679712963,26.291141184987378,0.01181069554504896,0.011867359674465651,0.15973553512776398,0.37693122031599546,-0.6107740904625629,-59.48338090277239,1202,49.00299102691924,71.29885700410193,0.0,19.08823529411765,34,⚠️ Custo Zero (Sem Fricção)
EXP_034,Long-Short (BAB) | 63d (3M) | 20% | Trimestral | 5 bps,Long-Short (BAB),63,63d (3M),20%,0.2,Trimestral,5.0,110.6915606057659,9.501372994807555,26.290783034268134,0.011801853857222438,0.011858531692713274,0.15978927286773703,0.3766929813488559,-0.6107597987064449,-59.46189518411641,1202,49.05284147557328,71.29885700410193,1.2120805690697332,19.08823529411765,34,✅ Robusto
EXP_035,Long-Short (BAB) | 63d (3M) | 20% | Trimestral | 15 bps,Long-Short (BAB),63,63d (3M),20%,0.2,Trimestral,15.0,110.6840112176508,9.500895101376416,26.29008237612004,0.01178399068131631,0.011840693452443445,0.15989686354517804,0.3762119797942539,-0.6107312151942085,-59.41889597285307,1202,49.10269192422732,71.29885700410193,3.6362417072091997,19.08823529411765,34,✅ Robusto
EXP_036,Long-Short (BAB) | 63d (3M) | 20% | Trimestral | 25 bps,Long-Short (BAB),63,63d (3M),20%,0.2,Trimestral,25.0,110.67636679834064,9.500411176930633,26.289402577077013,0.011765887808921242,0.011822612214301264,0.16000460832858532,0.3757249472250073,-0.6107026316819718,-59.375859709119105,1202,49.05284147557328,71.29885700410193,6.060402845348662,19.08823529411765,34,✅ Robusto
EXP_037,Long-Short (BAB) | 63d (3M) | 20% | Mensal | 0 bps,Long-Short (BAB),63,63d (3M),20%,0.2,Mensal,0.0,58.2177862302433,5.637932788420774,26.152154888964947,-0.1340345242776565,-0.13241968715486563,0.08211662260522656,-3.4778032553529488,-0.5928726448860309,-68.65763117809878,1575,46.748166259168705,38.620312722479895,0.0,19.04901960784314,102,⚠️ Custo Zero (Sem Fricção)
EXP_038,Long-Short (BAB) | 63d (3M) | 20% | Mensal | 5 bps,Long-Short (BAB),63,63d (3M),20%,0.2,Mensal,5.0,58.14830800262434,5.6323861835668065,26.152330901688526,-0.1342457105422024,-0.13262821764048563,0.08205766540702912,-3.483349316066108,-0.5928843809778944,-68.63936666524188,1575,46.79706601466992,38.620312722479895,1.9696359488464759,19.04901960784314,102,✅ Robusto
EXP_039,Long-Short (BAB) | 63d (3M) | 20% | Mensal | 15 bps,Long-Short (BAB),63,63d (3M),20%,0.2,Mensal,15.0,58.00931612875988,5.6212837041979435,26.152719806166232,-0.13466823908580403,-0.13304543799638593,0.08193954366527754,-3.494450707153355,-0.5929078531616219,-68.60281925856027,1575,46.79706601466992,38.620312722479895,5.908907846539425,19.04901960784314,102,✅ Robusto
EXP_040,Long-Short (BAB) | 63d (3M) | 20% | Mensal | 25 bps,Long-Short (BAB),63,63d (3M),20%,0.2,Mensal,25.0,57.87027730676326,5.610168868259313,26.15315788082774,-0.13509097355044322,-0.13352738923829027,0.08182114502162255,-3.505564454810369,-0.5929313253453493,-68.56624735301293,1575,46.79706601466992,38.620312722479895,9.848179744232375,19.04901960784314,102,✅ Robusto
EXP_041,Long-Short (BAB) | 63d (3M) | 30% | Trimestral | 0 bps,Long-Short (BAB),63,63d (3M),30%,0.3,Trimestral,0.0,110.69529965747363,9.501609679712963,26.291141184987378,0.01181069554504896,0.011867359674465651,0.15973553512776398,0.37693122031599546,-0.6107740904625629,-59.48338090277239,1202,49.00299102691924,71.29885700410193,0.0,19.08823529411765,34,⚠️ Custo Zero (Sem Fricção)
EXP_042,Long-Short (BAB) | 63d (3M) | 30% | Trimestral | 5 bps,Long-Short (BAB),63,63d (3M),30%,0.3,Trimestral,5.0,110.6915606057659,9.501372994807555,26.290783034268134,0.011801853857222438,0.011858531692713274,0.15978927286773703,0.3766929813488559,-0.6107597987064449,-59.46189518411641,1202,49.05284147557328,71.29885700410193,1.2120805690697332,19.08823529411765,34,✅ Robusto
EXP_043,Long-Short (BAB) | 63d (3M) | 30% | Trimestral | 15 bps,Long-Short (BAB),63,63d (3M),30%,0.3,Trimestral,15.0,110.6840112176508,9.500895101376416,26.29008237612004,0.01178399068131631,0.011840693452443445,0.15989686354517804,0.3762119797942539,-0.6107312151942085,-59.41889597285307,1202,49.10269192422732,71.29885700410193,3.6362417072091997,19.08823529411765,34,✅ Robusto
EXP_044,Long-Short (BAB) | 63d (3M) | 30% | Trimestral | 25 bps,Long-Short (BAB),63,63d (3M),30%,0.3,Trimestral,25.0,110.67636679834064,9.500411176930633,26.289402577077013,0.011765887808921242,0.011822612214301264,0.16000460832858532,0.3757249472250073,-0.6107026316819718,-59.375859709119105,1202,49.05284147557328,71.29885700410193,6.060402845348662,19.08823529411765,34,✅ Robusto
EXP_045,Long-Short (BAB) | 63d (3M) | 30% | Mensal | 0 bps,Long-Short (BAB),63,63d (3M),30%,0.3,Mensal,0.0,58.2177862302433,5.637932788420774,26.152154888964947,-0.1340345242776565,-0.13241968715486563,0.08211662260522656,-3.4778032553529488,-0.5928726448860309,-68.65763117809878,1575,46.748166259168705,38.620312722479895,0.0,19.04901960784314,102,⚠️ Custo Zero (Sem Fricção)
EXP_046,Long-Short (BAB) | 63d (3M) | 30% | Mensal | 5 bps,Long-Short (BAB),63,63d (3M),30%,0.3,Mensal,5.0,58.14830800262434,5.6323861835668065,26.152330901688526,-0.1342457105422024,-0.13262821764048563,0.08205766540702912,-3.483349316066108,-0.5928843809778944,-68.63936666524188,1575,46.79706601466992,38.620312722479895,1.9696359488464759,19.04901960784314,102,✅ Robusto
EXP_047,Long-Short (BAB) | 63d (3M) | 30% | Mensal | 15 bps,Long-Short (BAB),63,63d (3M),30%,0.3,Mensal,15.0,58.00931612875988,5.6212837041979435,26.152719806166232,-0.13466823908580403,-0.13304543799638593,0.08193954366527754,-3.494450707153355,-0.5929078531616219,-68.60281925856027,1575,46.79706601466992,38.620312722479895,5.908907846539425,19.04901960784314,102,✅ Robusto
